+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        178 |   0.73 |  18.30 |    12.25 |    24.72 |    19.33 |     19.28 |     28.17 |  task_5290_cp2k_singlepoint_pre |
|        179 |   0.57 |  20.46 |    14.08 |    27.50 |    21.91 |     20.99 |     31.36 |  task_5296_cp2k_singlepoint_pre |
|        180 |   0.73 |  17.56 |    12.38 |    22.68 |    20.88 |     16.66 |     26.75 |  task_5292_cp2k_singlepoint_pre |
|        181 |   0.60 |  19.84 |    13.18 |    24.59 |    21.01 |     20.72 |     32.71 |  task_5288_cp2k_singlepoint_pre |
|        182 |   0.69 |  15.96 |    11.88 |    21.97 |    16.62 |     15.38 |     24.62 |  task_5294_cp2k_singlepoint_pre |
|        183 |   0.68 |  20.57 |    13.69 |    23.02 |    21.12 |     22.17 |     35.04 |  task_5300_cp2k_singlepoint_pre |
|        184 |   0.87 |  17.17 |    12.62 |    23.92 |    18.85 |     16.01 |     26.26 |  task_5304_cp2k_singlepoint_pre |
|        185 |   0.57 |  23.94 |    14.62 |    28.34 |    23.01 |     26.03 |     43.46 |  task_5302_cp2k_singlepoint_pre |
|        186 |   0.93 |  16.32 |    11.96 |    21.73 |    17.89 |     16.70 |     23.03 |  task_5306_cp2k_singlepoint_pre |
|        187 |   0.56 |  21.20 |    13.08 |    26.75 |    22.62 |     22.65 |     35.31 |  task_5308_cp2k_singlepoint_pre |
|        188 |   0.66 |  16.96 |    11.73 |    22.29 |    18.58 |     16.88 |     26.83 |  task_5310_cp2k_singlepoint_pre |
|        189 |   0.51 |  20.92 |    13.14 |    29.52 |    22.66 |     20.36 |     35.17 |  task_5312_cp2k_singlepoint_pre |
|        190 |   0.88 |  17.00 |    12.47 |    24.03 |    18.40 |     16.89 |     24.10 |  task_6279_cp2k_singlepoint_pre |
|        191 |   0.57 |  22.27 |    14.37 |    29.25 |    22.84 |     22.90 |     37.85 |  task_6281_cp2k_singlepoint_pre |
|        192 |   0.78 |  18.09 |    12.94 |    24.04 |    20.92 |     17.10 |     27.53 |  task_6283_cp2k_singlepoint_pre |
|        193 |   0.23 |  22.31 |    15.31 |    26.70 |    24.84 |     22.54 |     36.27 |  task_6285_cp2k_singlepoint_pre |
|        194 |   0.89 |  17.12 |    12.75 |    22.66 |    18.65 |     16.99 |     25.11 |  task_6291_cp2k_singlepoint_pre |
